bench,49.2883421,-123.1431964
bench,49.2883648,-123.1432174
bench,49.288387,-123.1432434
bench,49.2885005,-123.1433721
bench,49.2870746,-123.1428225
bench,49.2870998,-123.1428255
bench,49.28713,-123.1428243
bench,49.2871583,-123.1428261
bench,49.2872866,-123.1428379
bench,49.2873145,-123.1428373
bench,49.2873459,-123.1428403
bench,49.2873835,-123.1428433
bench,49.287509,-123.1428522
bench,49.2875369,-123.1428558
bench,49.2875639,-123.1425779
bench,49.2875676,-123.1428587
bench,49.2875927,-123.1428623
bench,49.2877416,-123.1426062
bench,49.287771,-123.1417924
bench,49.2877897,-123.1418216
bench,49.2878008,-123.1428856
bench,49.2878291,-123.1428946
bench,49.2878585,-123.1428987
bench,49.2878958,-123.1425781
bench,49.2879789,-123.1425721
bench,49.2879872,-123.1429457
bench,49.2880166,-123.1429635
bench,49.2880586,-123.1425905
apartments,49.28808346720407,-123.14175005777648
bench,49.2881161,-123.1426024
bench,49.2881713,-123.1430526
bench,49.2881968,-123.1430686
bench,49.2882127,-123.1426413
bench,49.2882559,-123.1426828
apartments,49.288341575859654,-123.14210994702455
bench,49.2883523,-123.1427587
bench,49.2884357,-123.1428357
bench,49.2884884,-123.1429132
apartments,49.28852910470429,-123.1410547299106
bench,49.2885769,-123.1430279
apartments,49.2886702,-123.14125705000001
apartments,49.28891337330143,-123.1416152434994
bench,49.2885241,-123.1434019
bench,49.2885423,-123.1434286
bench,49.2886362,-123.1431327
bench,49.2886442,-123.14357
bench,49.2886667,-123.1436027
bench,49.2886842,-123.14363
bench,49.288878,-123.1435177
bench,49.2889159,-123.1439223
bench,49.2889283,-123.143955
bench,49.2889436,-123.1436266
bench,49.2889457,-123.143993
bench,49.2890466,-123.1437846
bench,49.289148,-123.1443827
bench,49.2891678,-123.1444118
bench,49.2891871,-123.1444374
bench,49.2891983,-123.1440228
apartments,49.289237295724924,-123.14331606458714
bench,49.2893717,-123.1443043
bench,49.2893984,-123.1444073
bench,49.2894111,-123.1447392
apartments,49.289011615119946,-123.14296442995328
apartments,49.289126197505816,-123.14099582480524
apartments,49.289243549999995,-123.13999774999999
apartments,49.28933326632647,-123.14234668098266
bench,49.2894094,-123.1405964
apartments,49.289415,-123.1403028
bench,49.2894311,-123.140635
bench,49.289438,-123.141718
apartments,49.289529400000006,-123.14271330000003
apartments,49.28961514703171,-123.1417268850771
bench,49.289427,-123.1452858
bench,49.2894317,-123.1447701
bench,49.289432,-123.1452252
bench,49.2894379,-123.1453256
bench,49.2894413,-123.1451824
bench,49.289445,-123.144451
bench,49.2894518,-123.1448028
apartments,49.28950542763591,-123.14365299920458
bench,49.2895113,-123.1445019
bench,49.2895467,-123.1454545
apartments,49.289727750175764,-123.13965308333877
apartments,49.28981175386092,-123.13992131476334
bench,49.2895692,-123.1454913
bench,49.2895743,-123.1446042
bench,49.2896483,-123.1456119
bench,49.2896669,-123.1456375
apartments,49.28981171828079,-123.14420493840757
bench,49.2898347,-123.1458597
bench,49.2898525,-123.1458864
apartments,49.28992117478159,-123.14441232286707
apartments,49.289928515189565,-123.14319358489385
apartments,49.290025961304586,-123.14466961671151
apartments,49.289661733443516,-123.14068570257739
apartments,49.28969056895901,-123.14289954267477
bench,49.2897927,-123.141241
apartments,49.289812132552626,-123.1420569552055
apartments,49.28997619999999,-123.14005875
apartments,49.29004603138433,-123.14127817041293
apartments,49.29007659907565,-123.14233326653218
apartments,49.290111755256895,-123.14024129054111
apartments,49.29026251040791,-123.14272700031977
apartments,49.290285145788125,-123.14165142373486
bench,49.2901512,-123.1465708
apartments,49.29018639681125,-123.1448881660076
bench,49.2901968,-123.1440145
apartments,49.29019811374609,-123.14362442948543
bench,49.2902355,-123.1467444
house,49.29029046190564,-123.14513421684927
bench,49.290401,-123.1470695
house,49.290411937675884,-123.14498100997646
apartments,49.290467621527114,-123.14525389771623
bench,49.2904891,-123.1472012
bench,49.2902943,-123.1421214
apartments,49.2904205338385,-123.14066485432345
house,49.290486699999995,-123.1420839
apartments,49.29066169265984,-123.14116217489274
apartments,49.29067595337337,-123.14019445724436
apartments,49.2907136,-123.14207925
bench,49.2908224,-123.1424288
apartments,49.29084086458735,-123.14031140965618
apartments,49.290896076477345,-123.14252287114168
apartments,49.290903567157635,-123.14160680242917
bench,49.2905442,-123.1472784
apartments,49.290564643887045,-123.1431564029814
bench,49.2905877,-123.1457793
bench,49.2906213,-123.1470095
bench,49.2906332,-123.1473956
bench,49.2907061,-123.1474941
bench,49.2907225,-123.147144
apartments,49.29072798796842,-123.1434718708434
bench,49.2907319,-123.1471636
apartments,49.29079719723728,-123.14453398618453
bench,49.2908168,-123.1476019
apartments,49.290890660145905,-123.14373060948759
bench,49.2909378,-123.1477217
bench,49.290952,-123.1474014
bench,49.290967,-123.1477585
apartments,49.291010696980045,-123.14394414342772
bench,49.2910616,-123.1478251
apartments,49.29118313323854,-123.14419277782395
bench,49.2912158,-123.1434531
bench,49.2912302,-123.1434746
apartments,49.2909226,-123.1405903
apartments,49.291049050000005,-123.14077549999999
apartments,49.291070167993816,-123.14298041980992
apartments,49.291227751810965,-123.14210323218974
apartments,49.2913003555012,-123.14097478349406
apartments,49.29140783552598,-123.14023239018685
apartments,49.29146754190778,-123.14239050892107
apartments,49.291578483324905,-123.140360600397
bench,49.2912566,-123.148052
bench,49.29133,-123.1433066
bench,49.2913317,-123.1432767
bench,49.2913808,-123.1482119
bench,49.2913838,-123.1431661
bench,49.2914007,-123.1431412
bench,49.2915068,-123.1483868
bench,49.2915403,-123.14816
